title;genres;bpm;length;gain;rank;publicationDate;genres_1;genres_2;genres_3;genres_4;genres_5;genres_6;genres_7;key;year
Tommy James And The Shondells:It's Only Love;Rock music;139.2;127;-14;259435;28-10-2008;;;;;;;;;2008
Rainy Night In Georgia;Soul music;146;269;-18.4;260482;07-03-2012;Rhythm and blues;;;;;;;Dmaj;2012
Accept:Fast As A Shark;Power metal;140;234;-15.7;260520;31-05-2007;Speed metal;Heavy metal music;;;;;;Emin;2007
Pancho And Lefty;Country music;154;229;-13.6;260649;03-09-2009;;;;;;;;Dmaj;2009
Come Fly With Me;Traditional pop music;136;193;-9.8;260945;08-11-2004;;;;;;;;;2004
Cleaning Windows;Jazz;182.937;286;-13.9;261207;22-10-2007;Celtic music;;;;;;;;2007
Love Is The Answer;Soft rock;99;257;-14.9;261506;01-09-1977;;;;;;;;;1977
Big Love;Country music;114.5;219;-11.2;261600;20-11-2001;;;;;;;;Ebmin;2001
Wear You Out;Art rock;119.8;440;-9.2;262482;07-06-2004;;;;;;;;;2004
Hitchin' A Ride;Synthpop;137.8;185;-14.2;262619;01-11-2011;Pop rock;;;;;;;;2011
I Will;;104;161;-14.4;263031;19-03-2010;;;;;;;;Gbmaj;2010
Smile;;83;169;-11.2;263479;08-11-2004;;;;;;;;;2004
You Light Up My Life;Country music;84.9;207;-9.4;263563;13-11-2006;Adult contemporary music;Pop music;Easy listening;Soft rock;;;;;2006
Can't Break It To My Heart;Country music;136;174;-11.3;264438;10-07-2007;;;;;;;;Fmaj;2007
Mirage;Pop rock;128.8;165;-12.7;264601;28-10-2008;Classic rock;;;;;;;;2008
Tommy James And The Shondells:Mirage;Pop rock;128.8;165;-12.7;264601;28-10-2008;Classic rock;;;;;;;;2008
Fire;Rock music;149;232;-11.4;265120;21-07-2008;Post-punk;;;;;;;;2008
My Funny Valentine;;154;183;-14.9;265281;16-11-2012;;;;;;;;;2012
Tomorrow Never Knows;Experimental rock;131.7;329;-10;265393;06-10-2009;Psychedelic rock;Hard rock;Raga rock;;;;;;2009
Guns For Hands;Indie pop;130;273;-8.2;265688;17-07-2012;Alternative dance;;;;;;;;2012
One Step Closer;Rock and roll;88;231;-11.6;265688;22-11-2004;;;;;;;;;2004
I Wonder Where We'd Be Tonight;Country music;127.2;214;-18.1;266262;01-01-2008;;;;;;;;Bmin;2008
Silent Night;;72;249;-9.3;266472;25-10-2013;;;;;;;;Gmaj;2013
A Mind Of Its Own;Pop music;101;229;-8.9;266648;01-03-2003;;;;;;;;Dbmaj;2003
To Be With You;Acoustic music;166;199;-9;266876;03-11-2003;;;;;;;;;2003
How Do I Live;Pop music;126;242;-11;267560;11-09-2007;Country music;;;;;;;Dmaj;2007
Because Of You;;76;242;-13.3;268168;01-01-1980;;;;;;;;;1980
The Simple Things (Something Emotional);Soul music;110;270;-7.2;268368;24-05-2008;;;;;;;;Amin;2008
Jump;Arena rock;130;260;-7.1;268714;14-05-2007;Pop rock;Electronic rock;;;;;;;2007
Hanky Panky;Garage rock;125;173;-12.4;269599;08-02-2005;;;;;;;;;2005
I Left My Heart In San Francisco;Traditional pop music;91;233;-15.9;269785;01-01-1980;;;;;;;;;1980
Just One Of Those Things;;149.8;123;-18.9;269971;14-10-1997;;;;;;;;;1997
Pal�stinalied;;107.9;163;-11.5;270336;03-08-2007;;;;;;;;;2007
Eruption;Instrumental rock;149;101;-9.4;270872;14-05-2007;;;;;;;;;2007
How Could An Angel Break My Heart;;82;260;-14.7;271117;12-02-2007;;;;;;;;;2007
This Is All I Ask;;134;273;-14.2;271327;16-09-2011;;;;;;;;;2011
In Waves;;153.1;302;-7.3;272047;13-06-2011;;;;;;;;Amaj;2011
I Remember You;;121.6;304;-13.3;272143;01-01-2001;;;;;;;;;2001
Come Thou Fount Of Every Blessing;;122;90;-19.7;272524;12-03-1998;;;;;;;;Dmaj;1998
Rosanna;Blues;173;505;-11.6;272527;23-07-1993;Pop rock;Power pop;Rock music;;;;;;1993
Professional Widow;Alternative rock;107;279;-14.5;273158;25-09-2015;Speed garage;;;;;;;;2015
DJ Got Us Falling In Love;Electronic dance music;110;244;-21.9;273462;24-02-2015;Europop;;;;;;;;2015
You're A God;Post-grunge;193;218;-8.2;274561;29-12-2000;Alternative rock;;;;;;;Bbmaj;2000
Is It Raining At Your House;Country music;140.1;179;-18.1;274798;31-08-1993;;;;;;;;Dmaj;1993
The British Are Coming;Power pop;126;248;-7.6;275123;03-10-2014;Alternative rock;;;;;;;;2014
We'll Meet Again;;90;180;-13.4;275589;17-05-2004;;;;;;;;;2004
Ormurin Langi;;119;353;-8.9;276429;01-11-2012;;;;;;;;;2012
Days Of Wine And Roses;Easy listening;194;140;-16.9;277194;21-12-2010;;;;;;;;;2010
My Girl;Rhythm and blues;104;174;-9.5;277614;14-05-2001;Soul music;;;;;;;;2001
Caught A Lite Sneeze;Alternative rock;158;265;-11.4;277677;21-06-2005;Baroque pop;;;;;;;;2005
Africa;Soft rock;98;371;-14.2;278159;23-07-1993;;;;;;;;;1993
Seven Year Ache;Country music;122;215;-10.8;278313;04-06-2001;;;;;;;;Cmaj;2001
Ambulance;Art rock;93.3;294;-15.8;278429;07-06-2004;;;;;;;;;2004
Here I Go Again;Glam metal;128;217;-8.6;278474;29-05-2008;Hard rock;;;;;;;;2008
Blue Moon;;138;131;-23.2;278923;23-11-2010;;;;;;;;;2010
It's Been So Long;;143;137;-13.5;279268;01-01-2001;;;;;;;;Bbmaj;2001
Moon River;Easy listening;153.7;160;-10.6;279620;08-11-2004;;;;;;;;;2004
If I Ruled The World;;137;174;-12.4;279739;01-01-1980;;;;;;;;;1980
Domo23;Hip hop music;132.9;161;-8.6;279745;15-02-2013;;;;;;;;;2013
Cleaning Windows;Jazz;102.845;262;-11.1;280220;28-08-2015;Celtic music;;;;;;;;2015
Lullaby Of Broadway;;179.8;194;-14.2;281398;30-10-2006;;;;;;;;;2006
Pretty Baby;Pop music;138;247;-8.7;281407;01-01-1951;Pop rock;;;;;;;Amaj;1951
Safe;Pop rock;140.2;234;-9.9;281557;12-11-2010;;;;;;;;;2010
Me Wise Magic;Glam metal;98;366;-9.4;281740;24-09-1996;Hard rock;;;;;;;;1996
If The Good Die Young;Country music;156;149;-9.1;282061;18-10-2005;;;;;;;;Emin;2005
Poundcake;Hard rock;105;320;-7.1;282085;14-05-2007;;;;;;;;;2007
Home On The Range (Cherokee Edition);;122;321;-13.2;282122;18-12-2006;;;;;;;;;2006
Powerful Thing;Country music;148;176;-8.9;282236;15-01-2008;;;;;;;;Bmin;2008
I Left My Heart In San Francisco;Traditional pop music;128;176;-11.6;282321;08-11-2004;;;;;;;;;2004
Golden Age;Indie rock;110;252;-9.6;283023;26-08-2008;Funk rock;;;;;;;;2008
Victrola;Alternative rock;146;139;-12.4;283275;11-10-1994;;;;;;;;;1994
Let It Snow! Let It Snow! Let It Snow!;;117;185;-14.5;283565;02-01-2009;;;;;;;;;2009
Love Can Build A Bridge;Country music;130;235;-8.4;283739;13-11-2006;Pop rock;;;;;;;;2006
Pearl's Girl;Drum and bass;149.796;496;-11.2;284216;20-11-2015;Trance music;;;;;;;;2015
Wichita Lineman;Country music;94.1771;240;-12.3;284515;08-01-2016;Pop music;;;;;;;;2016
The Dance;Dance music;126;238;-10.3;284668;13-11-2006;Freestyle music;Country music;;;;;;;2006
Let There Be Love;;119;163;-12.1;284711;08-11-2004;;;;;;;;;2004
Jesus Christ;;132;191;-13.1;286521;30-08-1988;;;;;;;;;1988
Sanomi;Celtic music;170;180;-9.8;286719;30-04-2003;;;;;;;;;2003
Stille Nacht Heilige Nacht (Silent Night Holy Night);;162;219;-12.8;286769;06-11-2009;;;;;;;;;2009
Let It Flow;;168;262;-11.6;287086;12-02-2007;;;;;;;;;2007
Boom Boom;Talking blues;166;472;-14.5;288396;20-11-2007;Blues;Blues rock;;;;;;Gbmin;2007
Till The End;Country music;92;166;-20;288465;12-07-2013;;;;;;;;;2013
Lullaby Of Broadway;;93;183;-10.1;288525;01-01-1980;;;;;;;;;1980
Runnin' Behind;Country music;144;173;-10.4;288531;10-07-2007;;;;;;;;Emaj;2007
When I Call Your Name;Country music;70;254;-20;288666;30-09-1993;;;;;;;;Fmaj;1993
Hard To Say I'm Sorry;Progressive rock;142.1;237;-8;288690;26-10-2007;Adult contemporary music;Soft rock;Contemporary R&B;;;;;;2007
The Truth About Men;Country music;146;176;-8.9;288729;05-03-2005;;;;;;;;Emin;2005
Eleanor Rigby - Elds;Baroque pop;137;491;-20.3;288772;23-08-2005;;;;;;;;;2005
In This Life;Country music;128;248;-10.1;288779;19-05-2003;Pop music;;;;;;;;2003
Nolita Fairytale;Indie pop;186;206;-8.5;288812;09-10-2007;Piano rock;;;;;;;G;2007
I Thought About You;;97;176;-15.2;288933;30-10-2006;;;;;;;;;2006
Think Of You;Contemporary R&B;93;229;-13.2;288973;16-06-2008;Hip hop soul;;;;;;;;2008
Right Now;Hard rock;97;373;-12.6;288973;23-02-1993;;;;;;;;;1993
Unchained;Heavy metal music;137;296;-8.2;289386;27-03-2015;Hard rock;;;;;;;;2015
Somebody Paints The Wall;Country music;161;195;-12.7;289430;10-07-2007;;;;;;;;Amaj;2007
Bliss;Baroque pop;114;221;-13.5;289607;18-12-2006;Electronic music;Alternative rock;;;;;;;2006
Madame George;Folk rock;132;585;-19.4;289611;01-11-1968;;;;;;;;;1968
Putting The Damage On;Baroque pop;107;308;-14.3;289767;18-12-2006;;;;;;;;;2006
Bang Bang;Pop rock;137;316;-10.2;289794;23-08-2005;;;;;;;;;2005
