title;genres;bpm;length;gain;rank;publicationDate;genres_1;genres_2;genres_3;genres_4;genres_5;genres_6;genres_7;key;year
Real Real Gone;Celtic music;142.075;217;-11;338518;22-10-2007;Folk rock;Blues rock;;;;;;;2007
Undone (The Sweater Song);Power pop;160;299;-8.9;338564;23-03-2004;Alternative rock;;;;;;;;2004
What Makes A Man;Pop music;136;232;-8.7;339034;22-11-2016;;;;;;;;;2016
The Hands That Built America;Rock music;162;298;-11.4;339257;31-10-2002;;;;;;;;;2002
Bullet The Blue Sky;Rock music;152;336;-14.1;341590;26-03-1990;;;;;;;;;1990
(If You're Wondering If I Want You To) I Want You To;Power pop;110;208;-9.6;342215;01-01-2009;;;;;;;;;2009
Graduation (Friends Forever);Pop music;160;340;-11.3;342464;31-08-1999;;;;;;;;;1999
A Sort Of Homecoming;Rock music;117;328;-12.4;342503;14-07-2009;Post-punk;;;;;;;;2009
Here Comes The Night;Blues rock;197;165;;342961;22-10-2007;;;;;;;;Emaj;2007
You Wanted More;;181.3;233;-8;343194;02-08-1999;;;;;;;;;1999
Y.M.C.A.;Disco;127;225;-15.1;343884;22-10-2010;;;;;;;;;2010
Please;Alternative rock;101;302;-13.4;344576;03-03-1997;;;;;;;;;1997
You Are So Beautiful (To Me);Blue-eyed soul;128;184;-15.5;344873;13-11-2006;Pop music;;;;;;;;2006
Stand Up Comedy;Funk rock;179;229;-7;346211;26-05-2016;Alternative rock;;;;;;;;2016
I'm Already There;Country music;131.7;256;-9.1;347300;02-11-2007;;;;;;;;;2007
Linger On;Lo-fi music;91.3;477;-8.6;349068;19-06-2007;Indie rock;;;;;;;Cmaj;2007
Two Hearts Beat As One;Post-punk;141;243;-12.6;349068;18-07-2008;Rock music;;;;;;;;2008
I Left My Heart In San Francisco;Traditional pop music;126;171;-14.3;349914;10-12-2007;;;;;;;;;2007
Pamela;Soft rock;97.3;310;-20.8;351222;15-03-2008;Jazz fusion;Neo-progressive rock;;;;;;;2008
The Reason;Pop rock;83;234;-7.8;351557;19-11-2010;;;;;;;;;2010
It Had To Be You;Pop music;121;228;-13.4;351854;16-09-2011;;;;;;;;;2011
Until The End Of The World;Alternative rock;102;279;-9.1;351854;31-10-2002;;;;;;;;;2002
Ordinary Day;Pop music;92;238;-8.3;352631;01-01-1951;;;;;;;;Amin;1951
Ol' Man River;;155;319;-16.3;352801;10-08-2014;;;;;;;;;2014
Crazy Love;Blue-eyed soul;154;155;-18;352992;18-10-2013;;;;;;;;;2013
Redneck Crazy;Country music;146.1;216;-8;353310;20-02-2015;;;;;;;;;2015
Hawkmoon 269;Heartland rock;189;382;-14.9;354093;26-03-1990;;;;;;;;;1990
Wishing I Was Lucky;Pop music;109;236;-16.5;354180;24-01-2005;;;;;;;;Cmaj;2005
Fool Again;Pop music;152;235;-9.9;355024;22-04-2002;;;;;;;;;2002
Sonderzug Nach Pankow;;161;211;-10.7;355972;12-05-2006;;;;;;;;Fmaj;2006
Stranger In Town;New wave music;154;288;-12.5;357404;15-03-2008;;;;;;;;;2008
How Do You Keep The Music Playing?;Jazz;133;326;-14.1;357962;16-09-2011;;;;;;;;;2011
I Will Follow;Post-punk;155;217;-10.8;358532;21-07-2008;Rock music;;;;;;;;2008
She Builds Quick Machines;Hard rock;149;242;-7.1;360186;21-05-2007;;;;;;;;Dmin;2007
White As Snow;Folk rock;87;281;-12.2;360586;26-05-2016;;;;;;;;;2016
Fairly Local;Hip hop music;114;207;-9.3;360946;17-03-2015;Alternative dance;;;;;;;;2015
The Wanderer;Electronic rock;117;341;-16;361534;05-07-1993;;;;;;;;;1993
Undercover:Baker Street;Rock music;123;250;-14.8;363213;12-04-2010;Jazz;Soft rock;;;;;;;2010
Blue Velvet;Traditional pop music;131;272;-14.1;363491;16-09-2011;;;;;;;;;2011
Rabbit In Your Headlights;Trip hop;149;377;-12.2;363676;23-06-2003;;;;;;;;;2003
Ain't Talkin' 'Bout Love;Heavy metal music;139;227;-8.9;365558;14-05-2007;Hard rock;;;;;;;;2007
Back To The Shack;;172;186;-8.1;366396;20-01-2015;;;;;;;;;2015
New York;Rock music;125;330;-10.7;366494;11-08-2008;Alternative rock;;;;;;;;2008
Christian Woman;Gothic metal;89;538;-12.2;367135;01-01-1997;Doom metal;Alternative metal;;;;;;Bmin;1997
Fez - Being Born;Art rock;187;316;-8.9;367323;26-05-2016;;;;;;;;;2016
Wild Night;Rock music;144.6;213;-11.6;369056;28-01-2008;Rhythm and blues;;;;;;;;2008
Breathe;Rock music;117;300;-7.3;369084;26-05-2016;;;;;;;;;2016
Knock Three Times;Pop music;123;177;-12.6;369091;10-12-2007;;;;;;;;;2007
Smile;Country pop;141.1;212;-8.7;369729;30-08-2010;Country music;;;;;;;;2010
If You Could Only See;Post-grunge;190;261;-8.8;371655;11-07-1996;Alternative rock;;;;;;;;1996
Best I Ever Had (Grey Sky Morning);Country music;85.8;270;-10.3;371826;15-06-1999;Alternative rock;;;;;;;Gbmaj;1999
My Body;Alternative rock;141;221;-8.3;372767;;Indie rock;;;;;;;;
Bad Boys;Post-disco;120.185;199;-14.1;373467;26-09-2016;;;;;;;;;2016
Whiskey In My Water;Country music;153.7;188;-8.7;375515;27-09-2013;;;;;;;;;2013
Trials Troubles Tribulations;;160.9;182;-12.7;375740;18-12-2014;;;;;;;;;2014
Make Believe;;141;223;-16.5;377237;15-03-2008;;;;;;;;;2008
All Along The Watchtower;Folk rock;128;264;-14.9;377955;26-03-1990;Psychedelic rock;Hard rock;Blues rock;;;;;;1990
When I Look At The World;Rock music;99;257;-10.1;377955;11-08-2008;;;;;;;;;2008
So Very Hard To Go;Rhythm and blues;95;217;-10.4;378192;17-07-2001;;;;;;;;;2001
Polk Salad Annie;;131;223;-11.3;378267;03-12-2007;;;;;;;;Emaj;2007
The Night;Italo disco;110.5;233;-11.4;379673;05-12-2008;;;;;;;;Fmaj;2008
Moondance;Smooth jazz;134;274;-15.6;379814;18-10-2013;Rock music;Soft rock;;;;;;;2013
Can't You See;Rhythm and blues;86;277;-10.5;380373;09-03-2004;;;;;;;;;2004
Cast Your Fate To The Wind;Jazz fusion;125;186;-21.7;381522;18-04-2006;;;;;;;;;2006
Tryin' To Throw Your Arms Around The World;Rock music;179;232;-14.1;382161;18-11-1991;;;;;;;;;1991
All Out Of Love;Soft rock;106;225;-10.7;382917;13-11-2006;;;;;;;;;2006
Where The Streets Have No Name;Rock music;125;276;-9.7;383225;25-03-2009;;;;;;;;;2009
Dear Mr. Fantasy;Blues rock;163;342;-12;383380;14-01-2008;Psychedelic rock;;;;;;;Amaj;2008
Yonkers;Alternative hip hop;78.9;251;-8.4;384520;15-02-2011;Horrorcore;;;;;;;;2011
Stranger In Paradise;;149;300;-11.8;384696;16-09-2011;;;;;;;;;2011
Even Better Than The Real Thing;Alternative rock;128;221;-8.4;386134;31-10-2002;;;;;;;;;2002
Perfect Situation;Alternative rock;93;254;-7.8;389422;26-05-2005;Pop punk;Emo;;;;;;;2005
Unchained;Heavy metal music;136;209;-9.5;390921;18-09-2009;Hard rock;;;;;;;;2009
Zooropa;Alternative rock;94;391;-15.9;391302;05-07-1993;;;;;;;;;1993
Where Did Your Heart Go?;Dance-rock;96.5975;342;-16.8;393234;03-09-2001;Post-disco;Soft rock;;;;;;;2001
Mysterious Ways;Alternative dance;99;244;-10.2;393378;31-10-2002;Alternative rock;Funk rock;;;;;;;2002
Dreams;Electronic rock;141;292;-6.8;393378;14-05-2007;Pop rock;Hard rock;;;;;;;2007
Original Of The Species;Rock music;173;281;-7.5;395011;22-11-2004;;;;;;;;;2004
Helter Skelter;Hard rock;157;188;-12.4;395338;26-03-1990;Heavy metal music;;;;;;;;1990
Dying In Your Arms;Metalcore;160;173;-7.1;396129;07-03-2005;;;;;;;;Amin;2005
Everything She Wants;Dance-pop;114.844;389;-17.8;396233;25-11-2011;Contemporary R&B;Post-disco;Synthpop;;;;;;2011
Domino;Rhythm and blues;130;189;-18;396757;30-06-1975;;;;;;;;;1975
Absolutely Everybody;House music;123.047;226;-8.3;397227;01-01-2000;Dance-pop;;;;;;;Fmaj;2000
Here I Am (Come And Take Me);Soul music;95;257;-19.2;397678;01-03-2003;;;;;;;;;2003
Friendship To Last;;156;193;-11.1;398541;20-02-2015;;;;;;;;;2015
Miracle Drug;Rock music;124;239;-8;399425;22-11-2004;;;;;;;;;2004
Humans Being;Hard rock;124;307;-9;400426;24-09-1996;;;;;;;;;1996
Da Da Da Ich Lieb Dich Nicht Du Liebst Mich Nicht Aha Aha Aha;Neue Deutsche Welle;132;392;-18.3;401057;01-01-1996;;;;;;;;;1996
Funky Cold Medina;Rap rock;117;248;-18.5;401872;30-11-1988;;;;;;;;;1988
Say OK;Contemporary R&B;95;223;-9.6;405131;01-04-2009;Pop music;;;;;;;;2009
Justice:Tthhee Ppaarrttyy;Electroclash;119;243;-10.3;405525;18-06-2007;Hip hop music;;;;;;;Emaj;2007
Conquest Of Paradise;Electronic music;148;284;-14.5;405804;01-01-1999;Ambient music;20th-century classical music;;;;;;;1999
Gloria;Rock music;146;287;-10.3;406008;02-01-1995;Post-punk;;;;;;;;1995
Far Away;Pop-rap;92;207;-8.9;406148;17-05-2011;;;;;;;;;2011
Just In Time;Pop music;154;114;-17.5;407599;10-08-2014;;;;;;;;;2014
Get On Your Boots;Alternative rock;148;205;-8.3;407759;20-01-2009;;;;;;;;;2009
Breaking Benjamin:Blow Me Away (Valora Version);Alternative metal;99;205;-7.3;409920;28-09-2009;Hard rock;;;;;;;Gmin;2009
Them:Baby Please Don't Go;Garage rock;105;160;-16.3;410645;22-10-2007;Blues rock;Blues;;;;;;Fmin;2007
Baby Please Don't Go;Garage rock;105;160;-16.3;410645;22-10-2007;Blues rock;Blues;;;;;;Fmin;2007
Giving Up The Gun;Synthpop;133.8;286;-7.9;411673;11-01-2010;Indie pop;;;;;;;Amaj;2010
Sweetest Thing;Pop rock;141;184;-13.4;412029;20-11-2007;;;;;;;;;2007
Peace On Earth;Rock music;101;288;-13;412315;11-08-2008;;;;;;;;;2008
Tupelo Honey;Blue-eyed soul;145.1;415;-13.3;413620;28-01-2008;Folk rock;Soft rock;;;;;;;2008
Astral Weeks;Folk rock;162;426;-18.8;414851;01-11-1968;;;;;;;;;1968
Acrobat;Alternative rock;200;270;-12.6;415193;18-11-1991;;;;;;;;;1991
Black No. 1 (Little Miss Scare-All);Gothic metal;107;675;-12.5;421017;01-01-1997;Alternative metal;;;;;;;Abmaj;1997
Sweet Thing;Folk rock;173;265;-17.7;423102;01-11-1968;;;;;;;;;1968
Unknown Caller;Rock music;103;362;-8.6;423319;26-05-2016;;;;;;;;;2016
Someone Like You;Smooth jazz;138;243;-12.5;423529;22-10-2007;;;;;;;;;2007
Into The Mystic;Rhythm and blues;173;207;-17.5;424766;18-10-2013;Gospel blues;Jazz;Folk rock;;;;;;2013
99;Soft rock;178;312;-15.8;425134;15-03-2008;;;;;;;;;2008
Staring At The Sun;Alternative rock;140;276;-11;425431;03-03-1997;;;;;;;;;1997
The Miracle (Of Joey Ramone);Pop rock;135;255;-10.8;426483;13-10-2014;;;;;;;;;2014
Pull Harder On The Strings Of Your Martyr;Metalcore;145;291;-6.9;428435;07-03-2005;;;;;;;;Dmaj;2005
Happy Little Pill;Electropop;92;224;-9.9;428803;25-07-2014;;;;;;;;;2014
Wild Thing;Electroclash;125;263;-15.5;429790;30-11-1988;Rap rock;Techno;;;;;;;1988
Scream;;128;235;-8.7;432855;26-04-2012;;;;;;;;;2012
I Knew You Were Trouble;Dubstep;154.268;218;-8;433037;19-11-2014;Electropop;Pop rock;;;;;;;2014
So Freakin' Tight;Deep house;122;344;-10.8;433792;22-02-2015;;;;;;;;;2015
And It Stoned Me;Rhythm and blues;151;272;-14.3;437471;18-10-2013;;;;;;;;;2013
U-Turn;Rhythm and blues;182;189;-10.2;438255;01-01-2001;;;;;;;;;2001
Discoth�que;Techno;120;320;-11.5;438255;03-03-1997;Alternative rock;Alternative dance;;;;;;;1997
No Line On The Horizon;Rock music;199;252;-8.6;438290;26-05-2016;;;;;;;;;2016
All I Want Is You;Pop rock;186;389;-15.5;440563;26-03-1990;Rock music;Pop music;;;;;;;1990
Wobble;Hip hop music;95;323;-6.3;441324;15-07-2008;Pop-rap;;;;;;;;2008
Colors Of The Wind;Film score;168;259;-15.2;442351;27-03-2006;;;;;;;;;2006
Mothers Of The Disappeared;Rock music;103;314;-14.9;442915;20-11-2007;;;;;;;;;2007
Lost In The Stars;;107;237;;443033;30-10-2006;;;;;;;;;2006
Candy Kisses;Country music;125;143;-11.4;443033;04-09-2006;;;;;;;;;2006
Just In Time;Pop music;113;156;;443033;13-10-2008;;;;;;;;;2008
Begin The Beguine;Jazz;137;203;-14;443033;14-11-2016;;;;;;;;;2016
Freak The Freak Out;Electronic rock;140.2;234;-6.5;444595;20-02-2011;Synthpop;Teen pop;;;;;;;2011
Holiday;Indie pop;156;138;-7.6;444739;11-01-2010;;;;;;;;Bmin;2010
Check Yes Juliet;Pop rock;166.7;220;-6.9;446230;09-06-2008;Alternative rock;Pop punk;Power pop;;;;;;2008
Faded;Hip hop music;95;213;-11.4;446413;13-01-2012;;;;;;;;;2012
Eleanor Rigby;Baroque pop;109.4;261;-11.8;449505;05-09-2005;;;;;;;;;2005
Turn The Beat Around;Disco;130;203;-8.8;449505;30-08-1999;Dance-pop;Hi-NRG;;;;;;;1999
Cousins;;175.9;145;-7.4;450275;11-01-2010;;;;;;;;Dbmin;2010
Accept:Balls To The Wall;Heavy metal music;118.1;343;-10.9;450965;11-06-2007;;;;;;;;E;2007
I'm So Lonesome I Could Cry;Country music;116;201;-5;451832;23-07-2010;Blues;;;;;;;Bbmaj;2010
You Might Think;New wave music;133;187;-10.1;453310;01-01-2011;Pop rock;;;;;;;;2011
Hold Me Thrill Me Kiss Me Kill Me;Glam rock;171;286;-9.8;453825;31-10-2002;Alternative rock;;;;;;;;2002
Das Boot;Techno;122;314;-11.7;455557;05-03-1992;Rave music;;;;;;;Fmaj;1992
Papers;Contemporary R&B;119.8;260;-10;455594;19-10-2009;;;;;;;;;2009
Something Good Can Work;Indie rock;119;165;-7.6;456349;01-06-2009;Dance-punk;Indie pop;;;;;;;2009
(Oh) Pretty Woman;Rock music;127;173;-7.3;456972;14-05-2007;;;;;;;;;2007
Why Can't This Be Love;Pop rock;176;211;-11.7;457055;24-09-1996;Electronic rock;;;;;;;;1996
Dance The Night Away;Hard rock;128;189;-8.4;457552;18-09-2009;;;;;;;;;2009
Wasted Time;Indie folk;112;301;-9.8;459169;02-09-2014;Indie pop;;;;;;;;2014
Walk On;Rock music;200;266;-8.3;462025;20-11-2006;;;;;;;;;2006
Everything She Wants;Dance-pop;115;302;-19;465553;06-02-1985;Contemporary R&B;Post-disco;Synthpop;;;;;;1985
Mickey;Bubblegum pop;148.2;254;-14.9;465827;01-06-2009;;;;;;;;;2009
Bright Side Of The Road;Country rock;176.683;226;-12;468033;22-10-2007;;;;;;;;;2007
Gloria;Proto-punk;128;156;-11.2;468704;03-06-2016;Garage rock;Punk rock;;;;;;Emaj;2016
Freedom;Pop music;132.938;319;-11.6;468909;26-09-2016;;;;;;;;;2016
First Time;Indie pop;116;224;-10;469709;21-01-2015;Indie folk;;;;;;;;2015
So Cruel;Rock music;183;349;-14.4;470821;18-11-1991;;;;;;;;;1991
I Won't Hold You Back;Soft rock;102;293;-15.7;472673;15-03-2008;;;;;;;;;2008
I'm Your Man;Dance music;132.089;243;-11.7;473682;26-09-2016;Pop music;Dance-pop;;;;;;;2016
Georgia;Indie pop;145;230;-10.6;473762;09-09-2014;Indie folk;;;;;;;;2014
Chariots Of Fire;Film score;136;209;-21.1;476286;23-07-2012;New-age music;;;;;;;;2012
Lil Freak;Rhythm and blues;140.2;234;-9.5;476727;29-03-2010;Hip hop music;;;;;;;;2010
My Love;Pop music;102;209;-9.9;479677;23-03-2001;;;;;;;;;2001
Angel Eyes (Home And Away);Soft rock;94;271;-11.1;480013;24-01-2005;;;;;;;;Bmaj;2005
Aber Bitte Mit Sahne;Thrash metal;124;217;-9.7;480528;01-01-2001;;;;;;;;;2001
The Edge Of Heaven;Dance-pop;152.56;274;-12.6;481556;03-09-2001;;;;;;;;;2001
Lemon;Alternative rock;116;418;-17.5;483292;05-07-1993;Disco;;;;;;;;1993
My Way;Contemporary R&B;90;214;-12.4;484143;19-04-2004;;;;;;;;;2004
Ultra Violet (Light My Way);Rock music;107;330;-12.8;484625;18-11-1991;;;;;;;;;1991
Love Is Blindness;Alternative rock;146;263;-13.9;485323;18-11-1991;;;;;;;;;1991
Burn;Contemporary R&B;119;256;-9.8;488613;20-03-2006;;;;;;;;;2006
Volcano Girls;Alternative rock;131;198;-7;492163;01-02-1997;;;;;;;;Dmaj;1997
Days Like This;Celtic music;187.926;190;-12.6;492605;22-10-2007;Folk rock;;;;;;;;2007
Chariots Of Fire;Film score;136;211;-15.6;492930;03-10-1989;New-age music;;;;;;;;1989
In A Little While;Rock music;92;220;-10.7;496478;11-08-2008;;;;;;;;;2008
I Only Wanna Be With You;Synthpop;138;164;-5.6;496946;30-09-2005;Bubblegum pop;Eurobeat;Latin music (genre);Pop music;;;;Dmaj;2005
Beverly Hills;Power pop;88;201;-8;498965;14-01-2010;;;;;;;;;2010
Sunday Bloody Sunday;Rock music;109;318;-12.1;500221;02-01-1995;Post-punk;;;;;;;;1995
Moment Of Surrender;Gospel music;173;444;-9.5;500810;26-05-2016;Rock music;;;;;;;;2016
Crimson And Clover;Garage rock;171;209;-12.7;501608;04-06-2002;Acid rock;Psychedelic pop;Psychedelic rock;;;;;;2002
Tommy James And The Shondells:Crimson And Clover;Garage rock;171;209;-12.7;501608;04-06-2002;Acid rock;Psychedelic pop;Psychedelic rock;;;;;;2002
Oops (Oh My);Hip hop soul;159;237;-9.9;502753;02-04-2002;Contemporary R&B;;;;;;;;2002
Make It Shine;Dance music;136.9;187;-6.8;502778;13-04-2010;Pop music;;;;;;;;2010
Hot For Teacher;;126;281;-8.4;504622;14-05-2007;;;;;;;;;2007
Red Red Wine;Reggae fusion;178;321;-18.3;505713;03-01-1993;Soft rock;Pop music;;;;;;;1993
Can't Stop Lovin' You;Hard rock;117;248;-7.4;507697;14-05-2007;;;;;;;;;2007
Bullet The Blue Sky;Rock music;152;271;-12.1;508093;20-11-2007;;;;;;;;;2007
Sleep Alone;;148.2;236;-7.6;509390;;;;;;;;;;
One Tree Hill;Rock music;123;322;-12.6;509575;20-11-2007;;;;;;;;;2007
Next Year;Dance-punk;127.6;251;-8.4;509964;01-03-2014;Indie pop;;;;;;;;2014
Cornflake Girl;Alternative rock;133;305;-11.7;511201;28-01-1994;Baroque pop;;;;;;;;1994
World Of Our Own;Pop music;98;208;-8.4;514036;11-03-2002;;;;;;;;;2002
Jump;Arena rock;129;244;-8.3;515043;14-05-2007;Pop rock;Electronic rock;;;;;;;2007
Sunday Bloody Sunday;Rock music;100;282;-10.4;516076;25-03-2009;Post-punk;;;;;;;;2009
Moving Mountains;Contemporary R&B;115.8;301;-8.9;519990;10-02-2010;;;;;;;;;2010
Georgy Porgy;Disco;97;248;-18;522868;15-03-2008;Jazz fusion;Soft rock;;;;;;;2008
You're Makin Me High;;92;268;-12.9;522916;21-08-2007;;;;;;;;;2007
You're Makin' Me High;;92;268;-12.9;522916;21-08-2007;;;;;;;;;2007
There Goes My Baby;Contemporary R&B;154.8;283;-10.6;524026;15-02-2010;;;;;;;;;2010
I Follow Rivers;Pop music;110;214;-10.7;525265;30-01-2015;Indie pop;;;;;;;;2015
Stop Loving You;Pop rock;102;270;-12;526352;15-03-2008;Soft rock;;;;;;;;2008
Slither;Heavy metal music;141;248;-7.5;526636;24-05-2004;Hard rock;;;;;;;Dmaj;2004
Ti Amo;Adult contemporary music;182;233;-8.5;526877;19-02-2007;Pop music;;;;;;;Amaj;2007
Vertigo;Alternative rock;140;190;-7;527283;20-11-2006;;;;;;;;;2006
All I Want Is You;Pop rock;186;591;-13.3;528418;25-03-2009;Rock music;Pop music;;;;;;;2009
Nice & Slow;Pop music;122;227;-15.2;530320;08-09-2003;Contemporary R&B;Soul music;;;;;;;2003
DLZ;Art rock;175.9;229;-8.1;530660;21-09-2008;Alternative rock;Indie rock;;;;;;;2008
Hope;Contemporary R&B;107;254;-10.2;531626;05-04-2005;Hip hop music;;;;;;;Bmin;2005
Lemme See;;154;252;-9.4;532163;04-05-2012;;;;;;;;;2012
Alicia Keys:Diary;Neo soul;128;284;-12.4;532959;01-12-2003;Soul music;Contemporary R&B;;;;;;;2003
Dancing With Tears In My Eyes;Synthpop;144;244;-12;532983;08-12-2008;;;;;;;;Gbmaj;2008
More;Hi-NRG;124.9;219;-6.7;537058;22-11-2010;;;;;;;;;2010
Cantaloop (Flip Fantasia);Dance-pop;115;279;-14.9;538418;10-03-2009;Jazz rap;;;;;;;;2009
Dancing Barefoot;Rock music;119;285;-11.6;540660;04-11-2002;;;;;;;;;2002
Everlasting Love;Electronic dance music;126;199;-11.3;540660;04-11-2002;Disco;Pop music;Soul music;Electropop;;;;;2002
Unchained Melody;Country music;100;291;-12.2;540660;04-11-2002;Pop music;Blue-eyed soul;;;;;;;2002
Red Hill Mining Town;Rock music;138;292;-13.3;542108;20-11-2007;;;;;;;;;2007
Gloria;Synthpop;131.7;276;-7.8;542426;26-03-2012;Pop music;Disco;Italo disco;Hi-NRG;Dance music;House music;;Emaj;2012
Y.M.C.A.;Disco;126;202;-12.7;542696;01-01-1980;;;;;;;;;1980
Have I Told You Lately;Folk rock;144.055;258;-13.5;548264;28-01-2008;Celtic music;Soft rock;Folk music;;;;;;2008
A Warrior's Call;Heavy metal music;145;263;-6.8;548280;10-09-2010;;;;;;;;Dmaj;2010
Running To Stand Still;Folk rock;94;257;-18.6;550443;20-11-2007;Country blues;;;;;;;;2007
Vienna;Synthpop;160;275;-12.7;550746;05-05-2008;Art rock;New wave music;Electronic music;;;;;Amin;2008
Pork And Beans;Alternative rock;119;189;-9.8;551925;23-06-2008;Power pop;;;;;;;;2008
Guns For Hands;Indie pop;130;277;-9.9;554337;08-07-2011;Alternative dance;;;;;;;;2011
Flying Without Wings;Pop music;146;214;-9.2;558725;01-11-2004;Contemporary R&B;Urban contemporary;;;;;;;2004
Macho Man;Disco;132.9;321;-13.8;561546;01-01-1986;;;;;;;;;1986
Smells Like Teen Spirit;Grunge;87;195;-14.3;562175;01-03-2009;Alternative rock;;;;;;;;2009
City Of Blinding Lights;Rock music;139;347;-7.2;570154;27-06-2006;;;;;;;;;2006
Love In This Club;Contemporary R&B;139;309;-11.5;571882;10-02-2010;;;;;;;;;2010
Undercover Martyn;Indie rock;159.6;166;-7.5;574813;26-02-2010;Power pop;Dance-punk;;;;;;;2010
Sunday Bloody Sunday;Rock music;101;279;-12.1;575027;18-07-2008;Post-punk;;;;;;;;2008
Trading Places;Contemporary R&B;146;268;-10.3;575489;10-02-2010;;;;;;;;;2010
Blister In The Sun;Alternative rock;97;144;-21.9;576876;08-07-1996;;;;;;;;Gmaj;1996
Ti Amo;Adult contemporary music;179.8;259;-8;576946;26-03-2012;Pop music;;;;;;;Amaj;2012
Waltz For Debby;Jazz;146;244;-15.9;580464;21-12-2010;;;;;;;;;2010
My Love;Pop music;144;230;-8.7;584716;22-11-2016;;;;;;;;;2016
I Can Talk;;162.8;175;-7;585953;23-11-2009;;;;;;;;;2009
Hash Pipe;Alternative rock;125;186;-8.5;587465;14-07-2009;Hard rock;Pop punk;;;;;;;2009
J.J. Cale:Cocaine;Tulsa Sound;103;172;-14.9;589895;02-06-1997;Blues rock;;;;;;;Dbmaj;1997
Caught Up;Contemporary R&B;110;224;-9.6;590750;21-05-2007;Dance-pop;;;;;;;;2007
Follow Me;Country rock;104;218;-9.9;590989;13-06-2000;;;;;;;;;2000
Uptown Girl;Teen pop;128;184;-8.1;591770;29-09-2004;Pop rock;Dance-pop;;;;;;;2004
Griechischer Wein;;148;245;-9;593154;07-10-2005;;;;;;;;;2005
Elevation;Alternative rock;110;227;-8.9;594230;20-11-2006;;;;;;;;;2006
Sweetest Thing;Pop rock;141;179;-12.3;596938;30-06-2008;;;;;;;;;2008
In The Navy;Disco;127;339;-12;597910;01-01-1979;;;;;;;;;1979
Drop That Kitty;Hip hop music;106;216;-8.7;599574;17-02-2015;;;;;;;;;2015
Club Tropicana;Post-disco;117;265;-12.6;602799;18-07-2003;;;;;;;;;2003
Fall To Pieces;Hard rock;132;270;-8.2;603783;24-05-2004;;;;;;;;Dbmaj;2004
I Still Haven't Found What I'm Looking For;Gospel music;100;277;-12.2;605377;20-11-2007;Rock music;;;;;;;;2007
Changing Of The Seasons;Synthpop;130;222;-7;607944;;Indie pop;;;;;;;;
Fallen;Hard rock;148;300;-6.7;610400;13-08-2010;;;;;;;;Dmaj;2010
Alane;World music;122;220;-11;611317;25-10-1996;;;;;;;;;1996
Fire And The Flood;Indie pop;114.844;249;-7.8;617016;09-09-2014;Indie folk;;;;;;;;2014
Confessions Part II;Contemporary R&B;137;211;-11.4;618104;09-01-2017;;;;;;;;;2017
Overnight Celebrity;Hip hop music;134;233;-9;620734;27-01-2004;;;;;;;;;2004
Un-Break My Heart;;110;271;-13.1;623387;21-08-2007;;;;;;;;;2007
Slow Jamz;Contemporary R&B;145;212;-10.1;624319;27-01-2004;Hip hop music;;;;;;;;2004
Magnificent;Rock music;114;324;-8.5;624329;26-05-2016;;;;;;;;;2016
Buddy Holly;Alternative rock;121;159;-9.4;636760;16-06-2008;Power pop;;;;;;;Fmaj;2008
Best Of Colour Solvers;Alternative rock;121;159;-9.4;636760;16-06-2008;Power pop;;;;;;;Fmaj;2008
We're Not Gonna Take It;Glam metal;148;219;-10.1;640785;17-12-2007;Heavy metal music;Hard rock;;;;;;Amaj;2007
Oxford Comma;Indie pop;119.8;195;-8.6;646535;27-01-2008;Blue-eyed soul;;;;;;;A;2008
Where The Streets Have No Name;Rock music;125;336;-13.1;654397;20-11-2007;;;;;;;;;2007
The Way You Do The Things You Do;Doo-wop;161;182;-19;655904;01-03-2003;Pop music;Reggae;Soul music;Rhythm and blues;Soft rock;;;;2003
Fade To Grey;Synthpop;112;243;-15.2;660336;01-01-2007;New wave music;;;;;;;Fmaj;2007
Climax;Electronic music;136;233;-9.4;662302;22-02-2012;Quiet storm;;;;;;;;2012
Wake Me Up Before You Go-Go;Dance-pop;81;230;-10.5;669579;10-12-2007;Dance-rock;Pop rock;;;;;;;2007
Wolf Like Me;Art rock;175;277;-8.3;671636;03-07-2006;Post-punk revival;;;;;;;;2006
Give Me One Reason;Blues rock;100;268;-14.2;674542;31-10-1995;Roots rock;;;;;;;Emin;1995
Rosanna;Blues;166;331;-14.1;675823;15-03-2008;Pop rock;Power pop;Rock music;;;;;;2008
Mess Is Mine;Indie folk;107;223;-10.9;677634;21-01-2015;Indie pop;;;;;;;;2015
Ordinary Love;Rock music;120;221;-11.6;685127;10-12-2013;;;;;;;;;2013
Born Slippy;Hard trance;140;456;-10.8;686032;29-01-2007;Trance music;;;;;;;;2007
Ice Ice Baby;Hip hop music;116.1;254;-7.9;691517;04-11-2008;Pop-rap;;;;;;;;2008
Holding On To You;Electropop;179;263;-7.6;693304;18-12-2014;Alternative hip hop;;;;;;;;2014
You Make Me Wanna...;;164;220;-11.5;703468;28-06-2004;;;;;;;;;2004
We Are The World;Gospel music;145.1;427;-18.7;712987;01-01-1985;Pop music;;;;;;;;1985
With Or Without You;Rock music;110;295;-14.2;712994;20-11-2007;;;;;;;;;2007
U Got It Bad;Contemporary R&B;123;247;-11.3;714388;01-01-2001;;;;;;;;;2001
Talking Body;Synthpop;119;238;-8.9;725824;24-09-2014;;;;;;;;;2014
